date,temp_mean_all,surface_temp_mean_all,soil_temp_10_mean_all,soil_temp_20_mean_all,soil_temp_50_mean_all,relhum_mean_all,abshum_mean_all,dew_point_temp_mean_all,windspeed_mean,windspeed_az_mean,windspeed_el_mean,winddirection_mean,winddirection_az_mean_angle,winddirection_el_mean_angle,precipitation_sum_all,pressure_mean_all,pressure_reduced_mean_all,global_radiation_short_wave_mean,global_radiation_long_wave_mean,reflex_radiation_short_wave_mean,reflex_radiation_long_wave_mean,albedo_mean_all,net_solar_rad_mean,net_far_infrared_rad_mean,sky_temp_mean,ground_temp_mean,total_net_rad_mean,precipitation_sum_730,precipitation_sum_550,wind_u_mean,wind_v_mean,rgs_roof_global_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_corrected_mean,rgs_roof_global_radiation_long_wave_mean,rgs_roof_direct_radiation_mean,rgs_roof_direct_rad_perpendicular_mean,rgs_roof_sunshine_duration_sum
2019-01-01,6.264583333333333,5.324999999999999,6.127083333333333,6.171527777777778,6.107638888888889,88.91874999999999,6.596082440562644,4.591666666666667,3.3909722222222225,3.3902777777777775,0.6090277777777778,273.9397531357564,271.1320804254865,25.604923460179666,3.1,1012.8777777777777,1028.7062500000002,4.090277777777778,337.0137450438201,-0.020833333333333332,342.02068948826457,0.11666105155490482,17.3265306122449,-5.006944444444445,4.45170492647751,5.526550938389318,-0.8958333333333334,2.9,2.9,3.3829588398444668,-0.23298519223525335,,,,,,,
2019-01-02,3.3763888888888887,1.9652777777777777,4.227083333333334,4.904861111111111,6.145833333333333,70.39444444444445,4.287565361168665,-1.5340277777777778,2.7874999999999996,2.7291666666666665,0.4972222222222222,308.42879029104284,305.7893653703982,19.350837452404587,0.1,1018.5930555555556,1034.6770833333333,19.34027777777778,280.0995994517156,1.0208333333333333,322.30098834060453,0.16269293353238687,64.08510638297872,-42.201388888888886,-8.293272492810937,1.3969786729572848,-23.881944444444443,0.1,0.1,2.1836752085292463,-1.7325469210543045,,,,,,,
2019-01-03,2.7993055555555557,2.1631944444444446,3.220833333333333,3.854861111111111,5.781944444444445,88.85902777777778,5.219126912269535,1.1965277777777779,1.8743055555555554,1.8777777777777775,0.34375,295.91819914739517,293.18838904715017,14.41754271778382,0.1,1022.1458333333334,1038.3173611111113,12.652777777777779,309.9026116289519,-1.8194444444444444,325.9026116289519,0.13428381167060333,37.11290322580645,-16.0,-1.2924035144180377,2.1780086783611297,-1.5277777777777777,0.1,0.1,1.6857860097732833,-0.8192355246442202,,,,,,,
2019-01-04,2.6444444444444444,2.236111111111111,3.382638888888889,3.8562499999999997,5.485416666666667,96.3763888888889,5.595564131049978,2.1875,2.3277777777777775,2.3993055555555554,0.39305555555555555,267.4854307814995,265.5441312929451,16.018970572193087,4.4,1020.2465277777778,1036.3993055555557,4.423611111111111,322.00460363262835,-2.7847222222222223,327.73377029929503,0.1137607514705904,19.177419354838708,-5.729166666666667,1.283556047498953,2.572804616817539,1.4791666666666667,6.2,6.1,2.3255363552232087,0.10212758320455363,,,,,,,
2019-01-05,5.558333333333334,5.254166666666666,4.527777777777778,4.543749999999999,5.414583333333334,97.26666666666667,6.856568906977768,5.226388888888889,3.790972222222222,3.802777777777778,0.6291666666666667,281.9284766435912,278.5135529414333,27.822500307938242,3.3,1014.2361111111111,1030.1229166666667,5.208333333333333,342.21299004525366,-0.034722222222222224,340.983823378587,0.12334673071285969,16.627450980392158,1.2291666666666667,5.57380240316713,5.322786486184293,6.472222222222222,2.8,2.7,3.709111402796789,-0.7835579055202812,,,,,,,
2019-01-06,5.145833333333333,4.868055555555555,5.15,5.179166666666666,5.614583333333333,96.93194444444445,6.645950229509336,4.754166666666666,3.0131944444444443,3.0805555555555557,0.4965277777777778,282.4833320772802,279.1881239354239,21.560823397067345,2.0,1016.3555555555556,1032.3000000000002,6.034722222222222,339.5374608349195,0.11805555555555555,339.4749608349195,0.12139764756430334,20.3265306122449,0.0625,5.02836173580047,5.015843595376851,5.979166666666667,0.7,0.9,2.9419593045158954,-0.6513188240817329,,,,,,,
2019-01-07,4.623611111111111,4.347916666666666,4.757638888888889,4.978472222222222,5.740972222222222,96.99791666666667,6.446334701992033,4.2555555555555555,2.054861111111111,2.0034722222222223,0.53125,241.0076241004827,240.13752096846224,17.58800089617821,4.7,1014.0124999999999,1029.9555555555555,10.76388888888889,333.835954272555,0.0,337.2803987169994,0.12556110647678373,33.98,-3.4444444444444446,3.817514091181184,4.554579878877636,7.319444444444445,6.7,6.7,1.7973545694938735,0.9959772775903483,,,,,,,
2019-01-08,5.875,4.847222222222222,5.120833333333334,5.268750000000001,5.795833333333333,84.39166666666667,6.0805273104180015,3.4930555555555554,5.171527777777778,5.116666666666666,0.8291666666666667,280.0289981855418,276.79729467426785,32.69525947731156,5.7,999.4569444444444,1015.0993055555555,9.840277777777779,329.13955788659365,2.5694444444444446,338.38955788659365,0.18548721402754084,26.333333333333332,-9.25,2.849749576715407,4.790291846345641,-1.9791666666666667,5.9,5.4,5.0925054946548665,-0.9006038769831969,,,,,,,
2019-01-09,2.915277777777778,2.238888888888889,3.894444444444444,4.500694444444445,5.799305555555556,80.44791666666667,4.751589343383256,-0.1597222222222222,3.5125,3.3631944444444444,0.6423611111111112,330.40884161042084,327.0755615183167,24.29646422944669,2.2,1002.2680555555556,1018.125,25.20138888888889,291.5986758865846,2.423611111111111,324.66812033102906,0.17410968710867702,76.10416666666667,-33.06944444444444,-5.556904400802132,1.9213553092769626,-10.291666666666666,0.0,0.5,1.734499491484262,-3.0543686359116573,,,,,,,
2019-01-10,0.5347222222222222,0.46041666666666664,2.634027777777778,3.3930555555555557,5.46875,86.67777777777778,4.3587083756132285,-1.3847222222222222,1.2374999999999998,1.2256944444444444,0.23680555555555557,323.28446654372965,320.74370775475825,6.11147534899298,0.2,1010.0770833333333,1026.1986111111112,15.243055555555555,297.98134354667025,-3.7708333333333335,320.04384354667025,0.13308944902142478,56.65384615384615,-22.0625,-3.94875146613475,0.940611044125132,-3.048611111111111,1.3,1.3,0.739830086782493,-0.9919968209079143,,,,,,,
